Name of the Disease,Days,Breakfast,Mid-meal,Lunch,Evening,Dinner,Caloric_intake_for_adult
High Cholesterol,Wednesday,"1 cup roasted oats upma with vegetables,1 glass milk/1 cup tea(toned)",1 banana,"4 chapathi,1/2 cup french beans curry,1/2 cup colocasia(arbi) sabji, 1 glass buttermilk","1 bowl pop corn,1 cup tea/milk(toned)","3 chapathi,1/2 cup palak sabji,1/2 cup vegetable salad",1800 - 2400
High Cholesterol,Thursday,"1 cup broken wheat upma with vegetables,1 glass milk/1 cup tea(toned)",100gm musk melon,"4 chapathi,1 portion(100gm) grilled/stewed fish,1/2 cup rajmah curry","1/2 cup Sweet potato salad, 1 cup green tea","3 chapathi, 1/2 cup ridge gourd(thori) sabji,1/2 cup vegetable salad",1800 - 2400
High Cholesterol,Friday,"2 paratha(aloo/gobhi/methi) with 2 tsp green chutney,1 glass milk(toned)/ 1 cup tea",100gm pomegranate,"4 chapathi,1/2 cup cluster beans curry,1/2 cup capsicum sabji, 1 glass buttermilk","1 small fistful (40 gm) of peanuts, almonds, walnuts,1 cup green tea","3 chapathi,1/2 cup raw banana sabji,1/2 cup vegetable salad",1800 - 2400
High Cholesterol,Saturday,"Vegetable sandwich with 4 whole wheat bread slices,cucumber,tomato,onion,spinach/lettuce,1 glass milk(toned)/ 1 cup tea",1 wedge(100gm) watermelon,"1 cup rice,2 chapathi,1/2 cup skin out chicken(100gm) curry,1/2 cup ivy gourd(parmal)sabji,1 glass buttermilk","Avocado(50gm) whole wheat bread(3 slices) sandwich, 1 cup green tea","3 chapathi(multigrain-wheat;jowar;bajra),1/2 cup tinda sabji, 1/2 cup vegetable salad",1800 - 2400
Kidney Failure,Sunday,"1 cup Vangibath,1 cup toned milk/ 1 cup tea (100ml)",1 apple (100gm),"1 cup rice,2 chapathi,1/2 cup snake gourd dal(red gram dal leached in hot water for 2hours),1/2 cup cabbage(leached) sabji, 1/2 cup curd","1 cup puffed rice (murmura), 1 cup toned milk/tea (100ml)","1 cup rice,1/2 cup cabbage(leached) sabji",30kcal per kg of body weigh
Kidney Failure,Monday,"1 cup capsicum rice,1 cup toned milk/ 1 cup tea (100ml)",1 pear (100gm),"1/5 cup rice,1/2 cup lauki dal(red gram dal leached),1/2 cup bhindi(leached) sabji, 1/2cup curd","1 cup toned milk/tea (100ml), 4 biscuits","1 cup rice, 1/2 cup bhindi(leached) sabji",30kcal per kg of body weigh
Kidney Failure,Tuesday,"3 rice dosa,1/2 cup sambhar(100ml)(red gram dal-leached, onion, ladies finger, bottlegourd),1tsp tomato chutney,1 cup toned milk/ 1 cup tea (100ml)",4 Jambu fruits/ strawberries(small),"1 cup rice,2 chapathi,1/2 cup mix veg sambhar(leached (red gram dal,ladies finger, bottlegourd), onion), 1/2 cup lauki sabji, 1/2 cup curd","3 Cracker biscuits, 1 cup toned milk/tea (100ml)","1 cup rice, 1/2 cup lauki sabji",30kcal per kg of body weigh
Kidney Failure,Wednesday,"4 rice Idly, 1/2 cup sambhar (100ml)(red gram dal-leached, onion, ladies finger, bottlegourd),1 tsp methi chutney,1 cup toned milk/ 1 cup tea (100ml)",Pineapple (100gm),"1 cup rice,2 chapathi,1/2 cup ridge gourd sabji,1/2 cup methi dal(both methi and redgram dal leached), 1/2 cup curd","1 cup toned milk/tea (100ml), 4 biscuits","1 cup rice,1/2 cup ridge gourd sabji",30kcal per kg of body weigh
Kidney Failure,Thursday,"1 cup vermicelli upma,1 cup toned milk/1 cup tea(100ml)",Musk melon (100gm),"1/5 cup rice, 1/2 cup capsicum(leached) sabji, 1/2 cup ridge gourd dal(red gram dalleached), 1/2 cup curd","1 cup poha (rice flakes), 1 cup toned milk/tea (100ml)","1 cup rice, 1/2 cup capsicum(leached) sabji",30kcal per kg of body weigh
Kidney Failure,Friday,"3 chapathi, capsicum curry-1/2 cup,1 cup toned milk/ 1 cup tea (100ml)",papaya (100gm),"1 cup rice,2 chapathi,brinjal(leached) sabji,1/2 cup tomato dal(green gram dal leached),1/2 cup curd","1 cup toned milk/tea (100ml), 4 biscuits","1 cup rice, brinjal(leached) sabji",30kcal per kg of body weigh
Kidney Failure,Saturday,"1 cup tomato rice , methi chutney- 2 tsp,1 cup toned milk/ 1 cup tea (100ml)",1 small wedge(100gm) watermelon,"1/5 cup rice,1/2 cup mix veg sambhar (leached(red gram dal),ridge gourd, snakegourd,bottle gourd),1/2 cup ivy gourd(parmal) sabji, 1/2 cup curd","1 cup toned milk/tea (100ml), 4 biscuits","1 cup rice, 1/2 cup ivy gourd sabji",30kcal per kg of body weigh
Kidney Stone,Sunday,"2 paratha (aloo/gobhi/methi) with 2 tsp green chutney , 1 glass milk (toned)",1 medium size pea,"1 cup rice , 2 roti , brinjal sabji , 1/2 cup rasam , 1 glass buttermilk","1 cup green tea , 2-3 biscuits","3 bajra roti , lauki methi curry , 1/2 cup cucumber salad",2000 - 2500
Kidney Stone,Monday,"3 uthappam , 2 tsp methi chutney , 1 glass milk (toned)",100gm musk melon,"4 jowar roti , 1/2 cup bitter gourd sabji , 1/2 cup french beans curry , 1 glass buttermilk","1 cup green tea , 2-3 biscuits","3 roti , 1/2 cup colocasia (arbi) curry , 1/2 cup cucumber salad",2000 - 2500
Kidney Stone,Tuesday,"1 cup bajra upma with vegetables , 1 glass milk (toned)",100gm pomegranate,"1 cup rice , 2 roti , 1/2 cup rasam , 1/2 cup capsicum sabji","1 cup green tea , 2-3 biscuits","3 jowar roti , 1/2 cup raw banana curry , 1/2 cup cucumber salad",2000 - 2500
Kidney Stone,Wednesday,"Vegetable sandwich with 4 whole wheat bread slices , cucumber, tomato, onion, spinach/lettuce , 1 glass milk (toned)",100 gm of pineapple,"1 cup rice , 2 roti , 1/2 cup rasam , 1/2 cup ivy gourd (parmal) sabji , 1 glass buttermilk","1 cup green tea , 2-3 biscuits","3 roti , 1/2 cup tinda curry , 1/2 cup cucumber salad",2000 - 2500
Kidney Stone,Thursday,"3 rice dosa , 1/2 cup sambhar (less dal) , 1 tsp methi chutney , 1 glass milk (toned)",1 banana,"4 bajra roti , 1/2 cup methi sabji , 1/2 cup mooli curry , 1 glass buttermilk","1 cup green tea , 2-3 biscuits","3 bajra roti , 1/2 cup ridge gourd (thori) curry , 1/2 cup cucumber salad",2000 - 2500
Kidney Stone,Friday,"4 rice Idly , 1/2 cup sambhar (less dal) , 1 tsp coconut chutney , 1 glass milk (toned)",1 medium size orange,"1 cup rice , 2 roti , 1/2 cup rasam , 1/2 cup cabbage sabji , 1 glass buttermilk","1 cup green tea , 2-3 biscuits","3 roti , 1/2 cup bhindi curry , 1/2 cup cucumber salad",2000 - 2500
Kidney Stone,Saturday,1/2 cup cornflakes in 1 glass milk (toned),1 medium size guava,"1 cup rice , 2 roti , 1/2 cup snake gourd sabji , 1/2 cup rasam , 1 glass buttermilk","1 cup green tea , 2-3 biscuits","3 jowar roti , 1/2 cup cauliflower curry , 1 cup cucumber salad",2000 - 2500
PCOD,Sunday,"4 Idli , Sambar 1/2 cup/ 1 table spoon Green chutney/ Tomato Chutney",green gram sprouts 1 cup,"3 Roti,1/2 cup salad , Fish curry (100 gm fish), 1/2 cup cabbage subji","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","2 Roti / chappati/, Tomato subji 1/2 cup",1800 - 2400
PCOD,Monday,"2 Slice brown bread/,1 slice low fat cheese,2 Boiled egg white","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","Veg pulav rice 1 cup, 1/2 cup Soya Chunk curry, 1/2 cup Butter Milk","1 cup light tea, 2 wheat rusk","2 roti/ Chapathi, Ladies finger subji 1/2 cup",1800 - 2400
PCOD,Tuesday,"Chappati 3 , 1/2 cup Potato green peas curry",1/2 cup boilled black channa,"1 cup rice, 1/2 cup Dhal, Palak subji 1/2 cup, 1/2 cup low fat curd","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","Brocken wheat upma 1 cup, 1/2 cup green beans subji",1800 - 2400
PCOD,Wednesday,"Methi Parata 2, 1 tbs green chutney","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","1 cup rice, chicken curry(150 gm chicken), 1 cup cucumber salad","1 Cup light tea, Brown rice flakes poha 1 cup","Wheat dosa 3 , 1/2 cup Bitter guard subji",1800 - 2400
PCOD,Thursday,"Vegetable Oats Upma 1 cup, 1/2 cup low fat milk",plane Yoghurt with raw vegetables / grilled vegetables -1 cup,"1/2 cup rice, 2 medium chappati,1/2 cup Kidney beans curry, Snake guard subji 1/2 cup","1 cup boilled channa, light tea 1 cup","2 Roti / chappathi, Ridge guard subji 1/2 cup",1800 - 2400
PCOD,Friday,"Mix veg Poha 1 cup, 1/2 cup low fat milk","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","3 Chappati, 1/2 cup cluster beans subji, Fish curry(100g fish) 1/2 cup","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","2 Roti / chappathi,Ridge guard subji 1/2 cup",1800 - 2400
PCOD,Saturday,"Utappam 2, 1 tbs green chutney",1 cup boilled channa,"1 cup rice, Soya chunk curry1/2 cup, Ladies finger subji 1/2 cup, small cup low fat curd","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","Brocken wheat upma 1 cup, 1/2 cup green beans subji",1800 - 2400
PCOS,Sunday,"3 Idli , Sambar 1/2 cup/ 1 table spoon Green chutney/ Tomato Chutney",green gram sprouts 1 cup,"3 Roti,1/2 cup salad , Fish curry (100 gm fish), 1/2 cup cabbage subji","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","2 Roti / chappati/, Tomato subji 1/2 cup",1500 - 2000
PCOS,Monday,"2 Slice brown bread/,1 slice low fat cheese,2 Boiled egg white","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","Veg pulav rice 1 cup, 1/2 cup Soya Chunk curry, 1/2 cup Butter Milk","1 cup light tea, 2 wheat rusk","2 roti/ Chapathi, Ladies finger subji 1/2 cup",1500 - 2000
PCOS,Tuesday,"Chappati 3 , 1/2 cup Potato green peas curry",1/2 cup boilled black channa,"1 cup rice, 1/2 cup Dhal, Palak subji 1/2 cup, 1/2 cup low fat curd","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","Broken wheat upma 1 cup, 1/2 cup green beans subji",1500 - 2000
PCOS,Wednesday,"Methi Parata 2, 1 tbs green chutney","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","1 cup rice, chicken curry(150 gm chicken), 1 cup cucumber salad","1 Cup light tea, Brown rice flakes poha 1 cup","Wheat dosa 3 , 1/2 cup Bitter guard subji",1500 - 2000
PCOS,Thursday,"Vegetable Oats Upma 1 cup, 1/2 cup low fat milk",plane Yoghurt with raw vegetables / grilled vegetables -1 cup,"1/2 cup rice, 2 medium chappati,1/2 cup Kidney beans curry, Snake guard subji 1/2 cup","1 cup boilled channa, light tea 1 cup","2 Roti / chappathi, Ridge guard subji 1/2 cup",1500 - 2000
PCOS,Friday,"Mix veg Poha 1 cup, 1/2 cup low fat milk","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","3 Chappati, 1/2 cup cluster beans subji, Fish curry(100g fish) 1/2 cup","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","2 Roti / chappathi, Ridge guard subji 1/2 cup",1500 - 2000
PCOS,Saturday,"Bason cheela-2 , 1 tbs green chutney",1 cup boilled channa,"1 cup rice, Soya chunk curry1/2 cup, Ladies finger subji 1/2 cup, small cup low fat curd","1 Portion fruit (Limit the intake of high energy fruits/ Eg: Banana, Jack fruit, Mango, Chikku/)","Broken wheat upma 1 cup, 1/2 cup green beans subji",1500 - 2000
Thyroid,Sunday,"3 dosa,1/2 cup sambhar,1tsp methi chutney,1 glass milk / 1 cup tea",1 medium size,"1 cup rice,2 chapathi,1 portion (150gm) chicken curry,1 glass buttermilk","3 Cracker biscuits,1 glass milk/1 cup tea","3 chapathi(multigrain-wheat;jowar;bajra),lauki methi sabji,1/2 cup vegetable salad",1500 - 2000
Thyroid,Monday,"1 cup roasted oats upma with vegetables,1 glass milk/1 cup tea",1 banana,"4 chapathi,1/2 cup french beans curry,1/2 cup colocasia(arbi) sabji, 1 glass buttermilk","1 cup boiled green gram sprouts with lemon,1 glass milk/1 cup tea","3 chapathi,1/2 cup bitter gourd sabji,1/2 cup vegetable salad",1500 - 2000
Thyroid,Tuesday,"1 cup broken wheat upma with vegetables,1 glass milk/1 cup tea",100gm musk melon,"1 cup rice,2 chapathi,1 portion(100gm) grilled/stewed fish (tuna/salmon/sardine/blackpomfret),1/2 cup rajmah curry","Bread omelette(eggs-2) (whole wheat bread-3 slices),1 glass milk/1 cup tea","3 chapathi, 1/2 cup ridge gourd(thori) sabji,1/2 cup vegetable salad",1500 - 2000
Thyroid,Wednesday,"2 paratha(aloo/gobhi/methi) with 2 tsp green chutney,1 glass milk/1 cup tea",100gm pomegranate,"4 chapathi,1/2 cup cluster beans curry,1/2 cup capsicum sabji, 1 glass buttermilk","3 wheat rusk, 1 glass milk/1 cup tea","3 chapathi,1/2 cup raw banana sabji,1/2 cup vegetable salad",1500 - 2000
Thyroid,Thursday,"4 Idly, 1/2 cup sambhar,1 tsp coconut chutney,1 glass milk/1 cup tea",1 medium size apple,"1 cup rice,2 chapathi,1 portion(100gm) fish(tuna/salmon/sardine/black pomfret)curry,green peas sabji","1 roasted blackgram laddu,1 glass milk/1 cup tea","3 chapathi,1/2 cup aloo baingan sabji,1/2 cup vegetable salad",1500 - 2000
Thyroid,Friday,1/2 cup Oats in 1 glass milk,1 medium size guava,"4 chapathi,1/2 cup chana dal,1/2 cup methi sabji,1 glass butter milk","1 cup boiled bengalgram with lemon,1 glass milk/1 cup tea","3 chapathi,1/2 cup bhindi sabji, 1 cup vegetable salad",1500 - 2000
Thyroid,Saturday,"Vegetable cheese sandwich with 3-4 whole wheat bread slices,cucumber,tomato, onion,1glass milk/1 cup tea",1 wedge(100gm) watermelon,"1 cup rice,2 chapathi,1/2 cup skin out chicken(150gm) curry,1/2 cup ivy gourd(parmal)sabji,1 glass buttermilk","1 cup chiwda,1 glass milk/1 cup tea","3 chapathi(multigrain-wheat;jowar;bajra),1/2 cup tinda sabji,1/2 cup vegetable salad",1500 - 2000
Celiac Disease,Sunday,"Utappam 2, 1 tbs green chutney",1 cup boilled channa,"1 cup rice, Soya chunk curry1/2 cup, Ladies finger subji 1/2 cup, small cup low fat curd/",1 Portion fruit( Include different colored fruits/ Don't stick with particular one/,"Bajra roti- 3, 1/2 cup green beans subji",2000 - 3000
Celiac Disease,Monday,"Mix veg Poha 1 cup, 1/2 cup low fat milk",1 Portion fruit( Include different colored fruits/ Don't stick with particular one/,"1 cup rice , 1/2 cup cluster beans subji, Fish curry(100g fish) 1/2 cup/","1 cup coffee , 2 biscuits ( Nutrichoice or Digestiva or Oatmeal/)","Fermented ragi dosa- 3,Ridge guard subji 1/2 cup/",2000 - 3000
Celiac Disease,Tuesday,"Vegetable Oats Upma 1 cup, 1/2 cup low fat milk",plane low fat Yoghurt with raw vegetables / grilled vegetables -1 cup,"1 cup rice , 1/2 cup Kidney beans curry, Snake guard subji 1/2 cup/","1 cup light tea , 2 wheat rusk/","Jowar roti- 3, Ladies finger subji 1/2 cup/",2000 - 3000
Celiac Disease,Wednesday,"2 Besan cheela, Green chutney/,1 slice low fat cheese,1Boiled egg white, 1/2 cup lowfat milk",1 Portion fruit( Include different colored fruits/ Don't stick with particular one/,"Veg pulav rice 1 cup, 1/2 cup Soya Chunk curry, 1/2 cup Low fat curd/","1 cup light green tea, 2 biscuits/","Rice dosa-3, Potato masala 1/2 cup/",2000 - 3000
Celiac Disease,Thursday,"4 Idli(rice) , Sambar 1/2 cup/ 1 table spoon Gren chutney/ Tomato Chutney",green gram sprouts 1 cup,"1 cup brown rice,1/2 cup salad , Fish curry ( 100 gm fish), 1/2 cup cabbage subji/","1 cup light green tea, 2 biscuits/","Rice dosa-3, Potato masala 1/2 cup/",2000 - 3000
Celiac Disease,Friday,"Moong dal cheela- 3, Tomato chutney",1 Portion fruit( Include different colored fruits/ Don't stick with particular one/,"1 cup rice, 1/2 cup Dhal, Palak subji 1/2 cup, 1/2 cup low fat curd/",1 Portion fruit( Include different colored fruits/ Don't stick with particular one/,"Buckwheat roti- 3, 1/2 cup green beans subji/",2000 - 3000
Celiac Disease,Saturday,"Rice dosa-3, Potato masala 1/2 cup",plane Yoghurt with raw vegetables / grilled vegetables -1 cup,"Chicken biriyani 1 cup ,1/2 cup raita/","1 Cup light coffee, Brown rice flakes poha 1 cup/",Pulav rice-1 cup,2000 - 3000
Liver Cirrhosis,Sunday,"1 vegetable omelette , 1 cup skim milk",1 cup coconut water/ 1 bowl fruit salad,"1 cup dal , 1 cup soybean curry , 2 chapatti , salad","1 cup skim milk/ tea , 2 whole grain biscuits","1 cup cauliflower and potato vegetable , 2 chapatti , salad",25 -30 kcal per kg of body weigh
Liver Cirrhosis,Monday,"1 cup vegetable poha , 1 cup skim milk",1 cup coconut water/ 1 bowl fruit salad,"1 cup bottle gourd vegetable , 2 chapatti , 1 cup spinach raita , salad","1 cup skim milk/ tea , 2 whole grain biscuits","1 cup peas and carrot vegetable , 2 chapatti , salad",25 -30 kcal per kg of body weigh
Liver Cirrhosis,Tuesday,"1 cup scambled egg , 2 multigrain toasted bread , 1 cup skim milk",1 cup coconut water/ 1 bowl fruit salad,"1 cup dal , 1 cup mix veg , 1 cup parboiled rice , 1 chapatti , salad","1 cup skim milk/ tea , 2 whole grain biscuits","1 cup cabbage and peas vegetable , 2 chapatti , salad",25 -30 kcal per kg of body weigh
Liver Cirrhosis,Wednesday,"2 moong dal cheela with stuffed paneer , 1 cup skim milk",1 cup coconut water/ 1 bowl fruit salad,"1 cup mattar paneer vegetable , 2 chapatti , 1 cup ghia raita , salad","1 cup skim milk/ tea , 2 whole grain biscuits","1 cup mushroom curry , 2 chapatti , salad",25 -30 kcal per kg of body weigh
Liver Cirrhosis,Thursday,"1 paneer sandwich with low fat cheese , 1 cup skim milk",1 cup coconut water/ 1 bowl fruit salad,"1 cup dal , 1 cup stuffed capsicum , 2 chapatti , salad","1 cup skim milk/ tea , 2 whole grain biscuits","1 cup lotus stem vegetable , 2 chapatti , salad",25 -30 kcal per kg of body weigh
Liver Cirrhosis,Friday,"1 cup soy bean salad , 1 cup skim milk",1 cup coconut water/ 1 bowl fruit salad,"1 cup soy chaap , 2 chapatti , 1 cup romato raita , salad","1 cup skim milk/ tea , 2 whole grain biscuits","1 cup brinjal vegetable , 2 chapatti , salad",25 -30 kcal per kg of body weigh
Liver Cirrhosis,Saturday,"1 cup black chana with paneer salad , 1 cup skim milk",1 cup coconut water/ 1 bowl fruit salad,"1 cup chicken/ fish curry , 1/2 cup rice , 1 chapatti , salad","1 cup skim milk/ tea , 2 whole grain biscuits","1 cup dum aloo vegetable , 2 chapatti , salad",25 -30 kcal per kg of body weigh
Asthma,Sunday,"Boiled Veg/ Salad (carrots,broccoli, spring onions, corns) 1 cup , Orange juice(1 cup)","Pomegranate (1/2 cup) , 1 Guava","Parboiled Rice (1 cup)/ 3 Chapatis , Veg/ curry (1/2 cup) , Daal soup (1/2 cup) , 1/4thfresh lemon","Green Tea (1 cup) with 1/2 tsp honey , 4 Almonds , 5-6 Raisins","2 Chapati , Chicken stew (1/2 cup)",1600 - 2400
Asthma,Monday,"Soy Milk (200ml) , Cornflakes , Ripe Banana (1)","1 Orange , Grapes (1/2 cup)","Parboiled Rice (1 cup)/ 3 Chapatis , Veg/ curry (1/2 cup) , Daal soup (1/2 cup) , 1/4thfresh lemon","Green Tea (1 cup) with 1/2 tsp honey , 4 Almonds , 5-6 Raisins","2 Chapati , Veg/ Curry (1/2 cup)",1600 - 2400
Asthma,Tuesday,"Veg/ Sandwich (2) , Orange juice (1 cup)","Pomegranate (1/2 cup) , 1 Guava","Parboiled Rice (1 cup)/ 3 Chapatis , Veg/ curry (1/2 cup) , Daal soup (1/2 cup) , 1/4thfresh lemon","Green Tea (1 cup) with 1/2 tsp honey , 4 Almonds , 5-6 Raisins","2 Chapati , Chicken stew (1/2 cup)",1600 - 2400
Asthma,Wednesday,"Boiled Veg/ Salad (carrots, broccoli, spring onions, corns) 1 cup , Orange juice (1 cup)","Pomegranate (1/2 cup) , 1 Guava","Parboiled Rice (1 cup)/ 3 Chapatis , Veg/ curry (1/2 cup) , Daal soup (1/2 cup) , 1/4thfresh lemon","Green Tea (1 cup) with 1/2 tsp honey , 4 Almonds , 5-6 Raisins","2 Chapati , Veg/ Curry (1/2 cup)",1600 - 2400
Asthma,Thursday,"Soy Milk (200ml) , Cornflakes , Ripe Banana (1)","1 Orange , Grapes (1/2 cup)","Parboiled Rice (1 cup)/ 3 Chapatis , Veg/ curry (1/2 cup) , Daal soup (1/2 cup) , 1/4thfresh lemon","Green Tea (1 cup) with 1/2 tsp honey , 4 Almonds , 5-6 Raisins","2 Chapati , Chicken stew (1/2 cup)",1600 - 2400
Asthma,Friday,"Veg/ Sandwich (2) , Orange juice (1 cup)","Pomegranate (1/2 cup) , 1 Guava","Parboiled Rice (1 cup)/ 3 Chapatis , Veg/ curry (1/2 cup) , Daal soup (1/2 cup) , 1/4thfresh lemon","Green Tea (1 cup) with 1/2 tsp honey , 4 Almonds , 5-6 Raisins","2 Chapati , Veg/ Curry (1/2 cup)",1600 - 2400
