Food Item,Quantity,Total Calories
Boiled channa,0.5,60
Medium size fruit,1,0
Portion of fruit,1,0
Plain low-fat yogurt with raw vegetables/grilled vegetables,1,70
Coconut water/Fruit salad,1,45
Pomegranate,0.5,41.5
Guava,1,68
Orange,1,47
Grapes,0.5,31
Almond milk,1,60
"Avocado/Nuts (almonds, raisins, walnuts) milkshake",1,300
Milk,1,150
Banana milkshake,1,150
Boiled egg,2,140
Milk,1,150
Roasted blackgram laddu,1,150
Milk/Tea,1,50
Boiled green gram sprouts,1,26
"Dry fruit milkshake (raisins, cashew, pistachio, almonds)",1,250
Medium banana,1,105
Medium apple,1,95
Medium orange,1,62
Medium pomegranate,1,83
Watermelon (100gm),100,3000
Medium pear,1,57
Grapes,0.5,31
Papaya,0.5,21.5
Yoghurt,0.5,25
Tender Coconut Water,1,45
Boiled green gram sprouts,1,26
Grilled vegetables with Cottage cheese,1,150
Boiled black chana,1,120
Grilled paneer,1,265
Orange,1,47
Tender coconut water,0.5,22.5
Chikus,2,166
Tender coconut water,0.5,22.5
Pomegranate,0.5,41.5
Tender coconut water,0.5,22.5
Grapes,0.5,31
Tender coconut water,0.5,22.5
Guava,1,68
Tender coconut water,0.5,22.5
Kiwi,1,42
Tender coconut water,0.5,9.5
Apple,1,95
Tender coconut water,0.5,9.5
Carrot and beetroot salad with olive oil dressing,1,120
Moong dal cheela with mint chutney,2,300
Boiled chickpeas with onion and coriander,1,269
Coconut water,1,19
Roasted peanuts,1,166
Roasted blackgram laddu,1,150
Soya milk,1,80
Oats biscuits,2,100
Black beans salad,0.5,57
Boiled chickpeas,0.5,134.5
Cucumber lettuce salad,0.5,4
Boiled black channa,1,269
Roasted sweet potato salad with honey and lime dressing,1,114
Papaya,1,59
Orange and grape fruit salad,1,62
Pomegranate seeds,1,83
Banana and oats porridge,1,220
Pineapple,100,5000
Strawberries,6,294
Egg Chapathi/Paneer Chapathi,2,550
Tomato onion sabzi,1,50
Lemon rice,1,120
Green Leafy Vegetable salad,0.5,7.5
Egg white,1,17
Rice,1,206
Dhal,0.5,43
Spinach salad,0.5,3.5
Capsicum vegetable,0.5,10
Egg white,1,17
Chapathi,2,208
Soya gravy,0.5,29
Dhal,0.5,43
Egg white omelette,1,17
Peas pulao,1,320
Green salad,0.5,7.5
Snake gourd raita,1,60
Egg white,1,17
Brown rice,1,248
Sambar,0.5,39
Spinach sabzi,0.5,7.5
Egg white,1,17
Rice,1,206
Dhal,0.5,43
Boiled Ash gourd,0.5,8
Egg white,1,17
Rice,1,206
Chapathi,2,208
Fish-tuna curry,1,110
Cabbage and green peas sabji,0.5,27
Chapathi,4,416
Cluster beans curry,0.5,15.5
Capsicum paneer sabji,0.5,37.5
Buttermilk,1,98
Rice,1,206
Chapathi,2,208
Yam curry,0.5,80
Ivy gourd (parmal) sabji,0.5,16.5
Buttermilk,1,98
Rice,1,206
Chapathi,2,208
Grilled/stewed-tuna fish,1,110
Rajmah curry,0.5,56
Chapathi,4,416
French beans curry,0.5,15.5
Colocasia (arbi) sabji,0.5,69.5
Buttermilk,1,98
Chapathi,4,416
Lauki dal,0.5,24
Green peas and paneer sabji,0.5,47.5
Buttermilk,1,98
Rice,1,206
Chapathi,2,208
Aloo brinjal sabji,0.5,39.5
Tomato dal,0.5,52
Buttermilk,1,98
Rice,1,206
Chapathi,2,208
Fish curry,1,110
Cabbage and green peas sabji,0.5,27
Chapathi,4,416
Chana dal,0.5,80
Mooli methi sabji,0.5,31
Buttermilk,1,98
Chapathi,4,416
Grilled/stewed fish,1,110
Rajmah curry,0.5,56
Chapathi,4,416
Cluster beans curry,0.5,7.5
Capsicum sabji,0.5,10
Buttermilk,1,98
Rice,1,206
Chapathi,2,208
Skin out chicken curry,0.5,118
Ivy gourd (parmal) sabji,0.5,16.5
Buttermilk,1,98
Rice,1,206
Chapathi,2,208
Snake gourd dal,0.5,58
Cabbage sabji,0.5,11
Curd,0.5,49
Rice,1.5,309
Lauki dal,0.5,24
Bhindi sabji,0.5,15
Curd,0.5,49
Rice,1,206
Chapathi,2,208
Mixed veg sambhar,0.5,25
Ladies finger,0.5,6.5
Bottlegourd,0.5,7
Onion,0.5,22
Lauki sabji,0.5,7
Curd,0.5,49
Rice,1,206
Chapathi,2,208
Ridge gourd sabji,0.5,10
Methi dal,0.5,52
Curd,0.5,49
Rice,1.5,309
Capsicum sabji,0.5,10
Ridge gourd dal,0.5,58
Curd,0.5,49
Rice,1,206
Chapathi,2,208
Brinjal sabji,1,34
Tomato dal,0.5,42.5
Curd,0.5,49
Rice,1.5,309
Mix veg sambhar,0.5,25
Ivy gourd (parmal) sabji,0.5,16.5
Curd,0.5,49
Rice,1,206
Roti,2,208
Brinjal sabji,1,34
Rasam,0.5,10
Buttermilk,1,98
Jowar roti,4,480
Bitter gourd sabji,0.5,8.5
French beans curry,0.5,7.5
Buttermilk,1,98
Rice,1,206
Roti,2,208
Rasam,0.5,10
Capsicum sabji,0.5,10
Rice,1,206
Roti,2,208
Rasam,0.5,10
Ivy gourd (parmal) sabji,0.5,16.5
Buttermilk,1,98
Bajra roti,4,416
Methi sabji,0.5,10
Mooli curry,0.5,10
Buttermilk,1,98
Rice,1,206
Roti,2,208
Rasam,0.5,10
Cabbage sabji,0.5,10
Buttermilk,1,98
Rice,1,206
Roti,2,208
Snake gourd sabji,0.5,10
Rasam,0.5,10
Buttermilk,1,98
Roti,3,312
Salad,0.5,5
Fish curry,100,20000
Cabbage subji,0.5,10
Veg pulav rice,1,250
Soya Chunk curry,0.5,50
Butter Milk,1,98
Rice,1,206
Dhal,0.5,52
Palak subji,0.5,10
Low fat curd,0.5,25
Rice,1,206
Chicken curry,150,35850
Cucumber salad,1,8
Rice,0.5,103
Chapati,2,208
Kidney beans curry,0.5,70
Snake guard subji,0.5,10
Chapati,3,312
Cluster beans subji,0.5,11
Fish curry,100,20000
Rice,1,206
Soya chunk curry,0.5,50
Ladies finger subji,0.5,15
Low fat curd,1,40
Rice,1,206
Chapati,2,208
Chicken curry,150,35850
Buttermilk,1,98
Rice,1,206
Chapati,2,208
Grilled fish,100,20000
Rajmah curry,0.5,70
Rice,1,206
Chapati,2,208
Fish,100,20000
Green peas sabji,0.5,40
Chapati,4,416
Chana dal,0.5,80
Methi sabji,0.5,10
Buttermilk,1,98
Rice,1,206
Chapathi,2,208
Skinless chicken curry,0.5,119.5
Ivy gourd sabji,0.5,10
Buttermilk,1,98
Rice,1,206
Soya chunk curry,0.5,50
Ladies finger subji,0.5,15
Low fat curd,1,40
Rice,1,206
Cluster beans subji,0.5,11
Fish curry,0.5,100
Rice,1,206
Kidney beans curry,0.5,70
Snake guard subji,0.5,10
Vegetable pulav rice,1,222
Soya chunk curry,0.5,50
Low fat curd,1,40
Brown rice,1,216
Salad,0.5,7.5
Fish curry,0.5,100
Cabbage subji,0.5,11
Rice,1,206
Dhal,0.5,80
Palak subji,0.5,11.5
Low fat curd,1,40
Chicken biriyani,1,290
Raita,0.5,37
Dal,1,160
Soybean curry,1,173
Chapatti,,104
Salad,,15
Bottle gourd vegetable,,20
Chapatti,,104
Spinach raita,,50
Salad,,15
Dal,,160
Mixed vegetables,,50
Parboiled rice,,206
Chapatti,,104
Salad,,15
Mattar paneer vegetable,,250
Chapatti,,104
Ghia raita,,60
Salad,,15
Dal,,160
Stuffed capsicum,,100
Chapatti,,104
Salad,,15
Soy chaap,,200
Chapatti,,104
Tomato raita,,50
Salad,,15
Chicken/fish curry,,250
Rice,,206
Chapatti,,104
Salad,,15
Parboiled rice/Chapatis,,206
Vegetable curry,,100
Daal soup (1/2 cup),,100
1/4th fresh lemon,,4
1 cup pulao,,200
2 roti,,200
1 cup (150gm) chicken curry,,250
1/2 cup aloo carrot sabji,,100
1/2 cup packed curd,,60
"4 multigrain (ragi, wheat, bajra, jowar) roti",,200
1/2 cup methi dal,,150
1/2 cup bhindi sabji,,100
1/2 cup packed curd,,60
1 cup rice,,206
"2 multigrain (ragi, wheat, bajra, jowar) roti",,339
1/2 cup rajmah curry,,150
1/2 cup bitter gourd sabji,,80
1/2 cup packed curd,,60
"4 multigrain (ragi, wheat, bajra, jowar) roti",,200
1/2 cup tomato dal,,150
1/2 cup green peas and mushroom curry,,120
1/2 cup packed curd,,60
1 cup rice,,206
"2 multigrain (ragi, wheat, bajra, jowar) roti",,200
1/2 cup sambhar,,100
1/2 cup methi paneer sabji,,120
1/2 cup packed curd,,60
1.5 cup rice,,309
100gm fish (sardine/salmon/mackerel/tuna) curry,,200
1/2 cup yam sabji,,80
1/2 cup egg curry,,200
1/2 cup colocasia (arbi) sabji,,90
1 cup brown rice,,248
2 roti,,200
1/2 cup cabbage dal,,100
1/2 cup capsicum sabji,,80
1 glass buttermilk,,60
4 roti,,400
100gm fish (tuna/sardine/salmon/mackerel with lemon) curry,,200
1/2 cup rajmah curry,,150
1 cup brown rice,,248
2 jowar roti,,200
1/2 cup tomato dal,,100
1/2 cup cluster beans curry,,70
1 glass buttermilk,,60
4 bajra roti,,200
1/2 cup lauki dal,,80
1/2 cup green peas and capsicum sabji,,90
1 glass buttermilk,,60
1 cup brown rice,,248
2 bajra roti,,200
1/2 cup methi dal,,100
1/2 cup french beans sabji,,80
1 glass buttermilk,,60
1 cup white rice,,242
2 roti,,200
100gm fish (tuna/sardine/salmon/mackerel) curry,,200
1/2 cup soya chunk and aloo sabji,,120
4 roti,,400
1/2 cup palak dal,,90
1/2 cup bitter gourd sabji,,80
1 glass buttermilk,,60
Mashed Khichdi (1/2 cup),,150
Veg pulav rice 1 cup,,268
1 cup Soya Chunk curry,,200
2 Roti,,20
Mushroom curry 1 cup,,150
1 cup moong dal,,234
1 cup rice,,242
Kidney beans curry 1 cup,,225
Cucumber salad,,15
Cottage cheese vegetable 1 cup,,200
2 chapati,,200
Black eyed beans curry 1 cup,,200
Cucumber salad,,15
1/2 cup rice,,120
1-2 chapati,,100
Chickpeas spinach curry 1/2 cup,,150
Snake guard subji 1/2 cup,,60
1 cup rice,,240
Soya chunk curry 1/2 cup,,200
Ladies finger subji 1/2 cup,,40
1/2 cup rice,,120
1-2 chapati,,100
Kidney beans curry 1/2 cup,,150
Palak paneer subji 1/2 cup,,120
2 Chapati,,200
Rajma (1 cup),,230
Parboiled Rice (1 cup),,240
Fish oil (1/3rd cup),,120
Lentil soup (1/2 cup),,100
2 Chapati,,200
Chickpeas (1/3rd cup),,100
Bitter gourd curry (1/3rd cup),,40
Veg. pulav (1 cup),,250
Dum aloo (1/2 cup),,100
Roasted papad (1-2),,50
Parboiled rice (1 cup),,240
Fish Curry (1/2 cup),,150
Lentil soup (1/2 cup),,100
2 Chapati,,200
Potato n Drumstick curry (1/2 cup),,120
Parboiled Rice (1 cup),,240
Red saag (1/3rd cup),,40
Lentil soup (1/2 cup),,100
Bottle gourd curry(1/2 cup),,50
3 chapathi/ 1 cup rice,,300
1/2 cup Sambar,,80
1/2 cup cabbage and green peas sabji,,70
1 glass buttermilk,,150
3 chapathi/ 1 cup rice,,300
1/2 cup chana dal,,120
1/2 cup mooli methi sabji,,60
1 cup rice/ 2 chapathi,,300
peas brinjal sabji,,80
1/2 cup tomato dal,,100
1 glass buttermilk,,150
3 chapathi/ 1 cup rice,,300
1/2 cup french beans curry,,70
1/2 cup rasam,,50
1 glass buttermilk,,150
3 chapathi/ 1 cup rice,,300
1/2 cup carrot dal,,110
1/2 cup rajmah curry,,130
1 glass buttermilk,,150
3 chapathi/ 1 cup rice,,300
1/2 cup cluster beans curry,,80
1/2 cup capsicum sabji,,60
1 glass buttermilk,,150
3 chapathi/ 1 cup rice,,300
2 chapathi,,200
1/2 cup mango dal,,110
1/2 cup ivy gourd(parmal) sabji,,50
1 glass buttermilk,,150
1 cup brown rice,,200
2 roti,,200
1/2 cup cabbage dal,,120
1/2 cup capsicum sabji,,60
4 roti,,400
1/2 cup carrot dal,,110
1/2 cup rajmah curry,,130
1 cup brown rice,,200
2 jowar roti,,200
1/2 cup beet root sabji,,50
1/2 cup cluster beans curry,,80
4 bajra roti,,400
1/2 cup lauki dal,,120
1/2 cup green peas and capsicum sabji,,70
1 cup brown rice,,200
2 bajra roti,,354
1/2 cup methi dal,,100
1/2 cup french beans sabji,,70
1 cup white rice,,240
2 roti,,200
1/2 cup palak dal,,110
1/2 cup soya chunk and aloo sabji,,150
roti,,100
1/2 cup lauki dal,,120
1/2 cup bitter gourd sabji,,40
Tofu Veg pulav rice 1 cup,,300
1 cup Low fat curd,,100
3 Roti,,300
1/2 cup salad,,50
Fish curry (Mackerel 80 gm),,150
1 cup brown rice,,200
Kidney beans curry 1 cup,,220
Ladies finger subji 1/2 cup,,50
3 chapati,,300
Oyster roast(6 medium Oysters),,150
Dhal 1/2 cup,,100
Cucumber salad 1/2 cup,,30
1 cup brown rice,,200
Chicken curry(150 gm chicken),,250
Palak subji 1/2 cup,,60
Low fat curd 1/2 cup,,50
1 cup brown rice,,200
Mushroom curry 1/2 cup,,70
Ladies finger subji 1/2 cup,,50
3 medium chapati,,300
Fish masala 1 cup (Sardine 80 g),,180
Snake guard subji 1/2 cup,,40
1 cup parboiled rice,,200
2 roti,,200
100 gm fish curry (tuna/sardine/salmon/mackerel),,120
Soya chunk and aloo sabji 1/2 cup,,120
1 cup parboiled rice,,200
2 roti,,200
1/2 cup cabbage dal,,100
1/2 cup chicken curry,,150
1 glass buttermilk,,50
1 cup parboiled rice,,200
2 jowar roti,,200
1/2 cup tomato dal,,120
1/2 cup cluster beans curry,,80
Buttermilk 1 glass,,50
Parboiled rice 1 cup,,200
Bajra roti 2,,150
Methi dal 1/2 cup,,100
French beans sabji 1/2 cup,,50
Buttermilk 1 glass,,50
Channa 1 cup,,180
Carrot & Cucumber slices 1 katori,,30
Mixed sprouts 1 katori,,50
Nuts (Almonds) 2,,30
Walnuts 3,,50
Pumpkin Seeds 1 teaspoon,,20
Sprouted green gram 1 katori,,50
Green tea 1 cup,,0
Nuts 1 tablespoon,,50
Boiled green gram sprouts with lemon 1 cup,,50
Green tea 1 cup,,0
Avocado(50gm) whole wheat bread(3 slices) sandwich,,300
Green tea 1 cup,,0
Cracker biscuits 3,,100
Tea/milk(toned) 1 cup,,30
Unsalted popcorn 1 bowl,,50
Tea/milk(toned) 1 cup,,30
Sweet potato salad 1/2 cup,,60
Green tea 1 cup,,0
Peanuts 1 small fistful (40 gm),,200
Almonds 6,,30
Walnuts 3,,50
Green tea 1 cup,,0
Boiled bengalgram with lemon 1 cup,,200
Green tea 1 cup,,0
Popcorn 1 bowl,,50
Tea/milk(toned) 1 cup,,30
Puffed rice (murmura) 1 cup,,50
Toned milk/tea (100ml) 1 cup,,30
Toned milk/tea (100ml) 1 cup,,30
Biscuits 4,,100
Cracker biscuits 3,,100
Toned milk/tea (100ml) 1 cup,,30
Poha (rice flakes) 1 cup,,150
Toned milk/tea (100ml) 1 cup,,30
Green tea 1 cup,,0
Biscuits 2-3,,70
Light tea 1 cup,,20
Wheat rusk 2,,100
Light tea 1 cup,,20
Brown rice flakes poha 1 cup,,200
Boiled channa 1 cup,,150
Light tea 1 cup,,20
Cracker biscuits 3,,100
Milk/tea 1 glass,,50
Boiled green gram sprouts with lemon 1 cup,,100
Milk/tea 1 glass,,50
Bread omelette(eggs-2) (whole wheat bread-3 slices),,300
Milk/tea 1 glass,,50
Wheat rusk 3,,150
Milk/tea 1 glass,,50
Roasted blackgram laddu 1,,100
Milk/tea 1 glass,,50
Boiled bengalgram with lemon 1 cup,,200
Boiled bengalgram with lemon 1 cup,,200
Green tea 1 cup,,0
Popcorn 1 bowl,,50
Tea/milk(toned) 1 cup,,30
Puffed rice (murmura) 1 cup,,50
Toned milk/tea (100ml) 1 cup,,30
Toned milk/tea (100ml) 1 cup,,30
Biscuits 4,,100
Cracker biscuits 3,,100
Toned milk/tea (100ml) 1 cup,,30
Poha (rice flakes) 1 cup,,150
Toned milk/tea (100ml) 1 cup,,30
Green tea 1 cup,,0
Biscuits 2-3,,70
Light tea 1 cup,,20
Wheat rusk 2,,100
Light tea 1 cup,,20
Brown rice flakes poha 1 cup,,200
Boiled channa 1 cup,,150
Light tea 1 cup,,20
Cracker biscuits 3,,100
Milk/tea 1 glass,,50
Boiled green gram sprouts with lemon 1 cup,,100
Milk/tea 1 glass,,50
Bread omelette(eggs-2) (whole wheat bread-3 slices),,300
Milk/tea 1 glass,,50
Wheat rusk 3,,150
Milk/tea 1 glass,,50
Roasted blackgram laddu 1,,100
Milk/tea 1 glass,,50
Boiled bengalgram with lemon 1 cup,,200
Milk/tea 1 glass,,50
Chiwda 1 cup,,200
Coffee 1 cup,,30
Biscuits (Nutrichoice/Digestiva/Oatmeal) 2,,100
Light tea 1 cup,,20
Wheat rusk 2,,100
Light green tea 1 cup,,0
Biscuits 2,,100
Light coffee 1 cup,,30
Brown rice flakes poha 1 cup,,200
Skim milk/tea 1 cup,,50
Whole grain biscuits 2,,100
Green tea with honey 1 cup,,20
Almonds 4,,30
Raisins 5-6,,30
Vegetable soup (tomato/mushroom/sweet corn) 1 cup,,50
Boiled bengalgram sprouts 1 cup,,150
Milk/tea 1 glass,,50
"Date milkshake (7 dates, 150ml milk) 1 glass",,200
Boiled Chana chaat 1 cup,,150
Milk/tea 1 glass,,50
Multigrain biscuits 4,,100
Milk 1 glass,,150
Almond milk (toned) 1 glass,,50
Oats biscuits 2-3,,100
Boiled sprouted green gram dal 1 cup,,150
Green tea 1 cup,,0
Small fist of peanuts,,100
Raisins,,50
Almonds,,30
Walnuts,,50
Boiled sprouted bengal gram 1 cup,,150
Green tea 1 cup,,0
Walnut milk (toned) 1 glass,,50
Ragi biscuits 2-3,,100
Custard 1/2 cup,,100
Almond milk 1 cup,,50
Apple 1,,50
Cottage cheese 1/2 cup,,100
Brown rice flakes poha with nuts 1 cup,,200
Soy milk 1 cup,,100
Boiled channa 1 cup,,150
Boiled black eye beans 1 cup,,150
Veg. Soup 1/2 cup,,50
"Sauteed Bell peppers, Spring Onions, and Tomato 1 cup",,50
Tomato Soup 1/2 cup,,50
Toast 2 slices,,100
Chicken stew 1/2 cup,,150
Baked Tomato and Chicken 1/2 cup,,150
Green Tea 1 cup,,0
Oats biscuits 2-3,,100
Green Tea 1 cup,,0
Whole wheat biscuits 2-3,,100
Small fist of peanuts,,100
Raisins,,50
Almonds,,30
Walnuts,,50
Green tea 1 cup,,0
Green tea 1 cup,,0
Ragi biscuits 2-3,,100
Spinach beetroot salad 1,,50
Green beans salad 1 cup,,50
Broccoli salad 1 cup,,50
Vegetable soup with garlic 1 cup,,50
Soya milk 1 cup,,100
Chicken broth with garlic 1 cup,,50
"Boiled bengal gram with onion, tomato, and coriander 1/2 cup",,150
"Beetroot, carrot, and broccoli salad with 1 tsp olive oil 1",,100
Green tea 1 cup,,0
Stewed tuna and leek salad 1/2 cup,,100
Green tea 1 cup,,0
"Boiled green gram with tomato, onion, and coriander 1/2 cup",,150
Horse gram dosa - 2,,200
Veg Sambar - ½ Cup,,100
Spinach chapathi - 2,,200
Veg gravy -½ Cup,,100
Multigrain chapathi - 2,,200
Peas gravy -1/2 Cup,,100
Horse gram dosa - 2,,250
Ridge gourd chutney -2 tablespoon,,50
Chapathi - 2,,200
Palak gravy - 1/2 Cup,,100
Oats idly - 2,,150
Tomato Chutney - 2 tablespoon,,50
Spinach Pulka - 2,,200
Vegetable Gravy - 1/2 Cup,,100
Bitter gourd(karela) sabji 1/2 cup,,50
Vegetable salad 1/2 cup,,50
Snake gourd sabji 1/2 cup,,50
Vegetable salad 1/2 cup,,50
Multigrain chapathi - 3,,300
Lauki sabji 1/2 cup,,50
Vegetable salad 1/2 cup,,50
Raw banana sabji 1/2 cup,,50
Vegetable salad 1/2 cup,,50
Ridge gourd(thori) sabji 1/2 cup,,50
Vegetable salad 1/2 cup,,50
Bhindi sabji 1/2 cup,,50
Vegetable salad 1 cup,,100
3 chapathi (multigrain-wheat;jowar;bajra),,300
1/2 cup tinda sabji,,50
1/2 cup vegetable salad,,50
3 chapathi,,300
1/2 cup cauliflower sabji,,50
1/2 cup vegetable salad,,50
3 chapathi,,300
1/2 cup bhindi sabji,,50
1 cup vegetable salad,,100
3 chapathi (multigrain-wheat;jowar;bajra),,300
lauki methi sabji,,50
1/2 cup vegetable salad,,50
3 chapathi,,300
1/2 cup palak sabji,,50
1/2 cup vegetable salad,,50
3 chapathi,,300
1/2 cup ridge gourd (thori) sabji,,50
1/2 cup vegetable salad,,50
